q_theta_deg,q_s2_z0,q_se_z0,q_s2_z1,q_se_z1,q_s2_z2,q_se_z2,q_s2_z3,q_se_z3
0.05,-1,3.34912e-13,-1,1.80988e-13,-1,7.87646e-14,-1,9.04939e-14
0.0531758,-1,3.34912e-13,-1,2.57405e-13,-1,8.1475e-14,-1,1.24039e-13
0.0565533,-1,2.2278e-13,-1,1.87718e-13,-1,9.38602e-14,-1,9.64665e-14
0.0601453,-1,1.57529e-13,-1,1.87718e-13,-1,7.87658e-14,-1,8.80614e-14
0.0639655,-1,1.34593e-13,-1,1.1139e-13,-1,5.45703e-14,-1,9.25276e-14
0.0680283,-1,1.34593e-13,-1,1.24039e-13,-1,3.77751e-14,-1,9.90056e-14
0.0723492,-1,1.34593e-13,-1,5.45703e-14,-1,6.31358e-14,-1,8.18547e-14
0.0769445,-1,1.34593e-13,-1,9.58216e-14,-1,4.36773e-14,-1,8.51985e-14
0.0818317,-1,1.34593e-13,-1,9.58216e-14,-1,3.93823e-14,-1,7.18662e-14
0.0870293,-1,1.76123e-13,-1,8.18547e-14,-1,3.77751e-14,-1,7.22978e-14
0.092557,-1,1.91642e-13,-1,9.21916e-14,-1,4.79108e-14,-1,5.54159e-14
0.0984359,-1,8.33567e-14,-1,8.80614e-14,-1,3.10133e-14,-1,4.9504e-14
0.104688,-1,8.33567e-14,-1,5.99866e-14,-1,3.56625e-14,-1,4.09277e-14
0.111337,-1,7.55483e-14,-1,4.60958e-14,-1,2.80583e-14,-1,4.1681e-14
0.118409,-1,5.45703e-14,-1,4.60983e-14,-0.407059,0.611474,-1,1.88875e-14
0.12593,-1,5.01277e-14,-1,4.09287e-14,0.0577778,1.08598,-1,2.59041e-14
0.133929,-1,4.60983e-14,-1,2.39601e-14,-0.107872,0.911156,-1,1.83682e-14
0.142435,-1,4.09287e-14,-1,2.39601e-14,-0.304602,0.706384,-1,2.41205e-14
0.151482,-1,3.93823e-14,-1,1.94933e-14,-0.394958,0.614099,-1,2.20154e-14
0.161104,-1,2.20197e-14,-1,2.20197e-14,-0.0597531,0.534639,-1,1.49973e-14
0.171336,-1,2.58997e-14,-1,1.39305e-14,-0.206997,0.452795,-1,1.68242e-14
0.182219,-1,2.20154e-14,-1,2.04644e-14,-0.0558678,0.538667,-1,1.1313e-14
0.193792,-1,2.20154e-14,-1,1.2762e-14,0.279226,0.576631,-1,1.10077e-14
0.206101,-0.486489,0.521728,-0.424123,0.400687,0.427151,0.656091,-0.777589,0.226864
0.219192,-0.200415,0.552665,0.307943,0.546689,0.214745,0.52221,-0.193983,0.512071
0.233114,0.0890753,0.849658,0.0463138,0.445759,0.158464,0.50059,-0.26692,0.387709
0.247921,-0.045124,0.745964,-0.0943462,0.347539,0.0846354,0.413818,-0.300673,0.318946
0.263667,-0.260544,0.580068,-0.216763,0.291775,0.183373,0.31335,-0.455201,0.250646
0.280415,-0.434985,0.442086,-0.0582813,0.317524,0.133325,0.264856,-0.343973,0.226773
0.298225,-0.531259,0.366104,-0.0194536,0.285796,0.106618,0.233954,-0.373195,0.191463
0.317167,-0.446806,0.309586,-0.0401446,0.258858,0.0527788,0.194419,-0.337458,0.172753
0.337312,-0.336892,0.317414,-0.131199,0.217788,0.000777417,0.191886,-0.108406,0.255975
0.358737,-0.339029,0.255638,-0.222336,0.165824,0.0677259,0.19078,0.136768,0.235274
0.381523,-0.38295,0.210321,0.015074,0.187578,0.166235,0.21073,0.146422,0.213718
0.405755,-0.135397,0.261112,-0.0199242,0.174623,0.0997692,0.177542,0.0706539,0.177064
0.431527,-0.167688,0.234419,0.0393473,0.166819,0.0970387,0.169146,-0.0467345,0.155867
0.458936,-0.248569,0.177575,0.0940393,0.152231,0.0211026,0.134276,-0.0642844,0.128097
0.488086,-0.111102,0.176697,0.163295,0.140331,0.103716,0.120401,-0.0338606,0.11289
0.519087,-0.1088,0.170768,0.136227,0.112496,0.0627419,0.0894087,-0.0240147,0.114324
0.552057,-0.0812693,0.1522,0.120189,0.113896,0.0768216,0.0757718,-0.0170432,0.110062
0.587121,0.0028068,0.145065,0.11066,0.0997451,0.0990804,0.0752041,0.037506,0.110067
0.624413,0.0596864,0.125417,0.122014,0.0824621,0.106605,0.0639402,0.00475837,0.0853849
0.664073,0.131031,0.122703,0.102867,0.0699695,0.0977182,0.0577778,0.00166615,0.083293
0.706252,0.117763,0.11202,0.107981,0.0655008,0.0917199,0.0626708,-0.0275522,0.0730945
0.75111,0.100112,0.101813,0.087844,0.0576346,0.0721518,0.0525645,-0.0248891,0.0660623
0.798818,0.120924,0.0901053,0.104023,0.0544099,0.0611483,0.0402686,-0.0115129,0.0577823
0.849555,0.0656264,0.0642475,0.125414,0.0563217,0.0673678,0.0332992,0.0196042,0.0528484
0.903515,0.0633479,0.0721173,0.13992,0.0551472,0.0939158,0.0310585,0.0291677,0.0466968
0.960903,0.086348,0.0630247,0.141991,0.0566637,0.0951888,0.0230123,0.0179763,0.0411359
1.02194,0.127103,0.0554193,0.127632,0.046546,0.0896532,0.0226161,0.0303539,0.0374323
1.08684,0.111563,0.0515373,0.123619,0.0461587,0.0912654,0.0214147,0.0268363,0.0318408
1.15588,0.120033,0.0517144,0.123187,0.0398154,0.0819416,0.0196835,0.0143209,0.029051
1.22929,0.104185,0.0474955,0.116292,0.0399245,0.0961159,0.0188438,0.0289055,0.0299407
1.30737,0.0806427,0.0386666,0.11973,0.0340136,0.0825488,0.0172668,0.0385964,0.0244805
1.39041,0.0805887,0.0397248,0.112526,0.0317148,0.0773218,0.0171562,0.0352002,0.0273041
1.47872,0.0788681,0.0350506,0.102264,0.0312388,0.0773553,0.0174003,0.0314951,0.0210141
1.57265,0.0615723,0.0290403,0.0916515,0.0271749,0.0717137,0.0150343,0.0453343,0.0218178
1.67253,0.058703,0.024304,0.0818117,0.0274389,0.0664151,0.0142771,0.0474893,0.018603
1.77877,0.0579485,0.0198744,0.0792743,0.0251103,0.0699182,0.0137432,0.0385295,0.014049
1.89175,0.0553506,0.0169837,0.0704573,0.0225569,0.0678485,0.0130566,0.0333375,0.0111122
2.0119,0.0463994,0.0155091,0.0649379,0.0204329,0.0637448,0.0129969,0.0401357,0.012378
2.13969,0.0411152,0.0126736,0.0611885,0.0176575,0.06321,0.0114761,0.0385539,0.0113781
2.27559,0.046331,0.0105012,0.0581014,0.0154715,0.0588749,0.0103998,0.0383985,0.0116153
2.42013,0.0417355,0.0102799,0.0551764,0.013588,0.0591611,0.00919857,0.0394107,0.0111229
2.57385,0.0412481,0.0104106,0.0532873,0.0120295,0.0566964,0.00767199,0.0379371,0.010378
2.73733,0.0399981,0.0111449,0.0518556,0.0108563,0.0575653,0.0069904,0.0412311,0.00912583
2.91119,0.0372432,0.0105276,0.0498989,0.00947666,0.0576831,0.00696352,0.0418032,0.00907564
3.0961,0.0380045,0.0100702,0.0472942,0.00898971,0.0570807,0.00590774,0.0426827,0.00783765
3.29275,0.0378433,0.00984994,0.0458833,0.00836988,0.0576574,0.00498516,0.0420414,0.00758343
3.50189,0.035954,0.00821763,0.0430914,0.00743676,0.0565116,0.00506003,0.0419681,0.007606
3.72431,0.0341739,0.00736154,0.0420322,0.00679685,0.0546553,0.00448774,0.0427281,0.00682422
3.96087,0.0333355,0.00685724,0.0411207,0.00614513,0.052393,0.00389092,0.0435352,0.00670721
4.21244,0.034262,0.00607382,0.0409433,0.00588634,0.0513092,0.00362147,0.0431753,0.00598055
4.48,0.0337295,0.00581306,0.0415501,0.00547216,0.0497927,0.0032077,0.0442765,0.0055129
4.76455,0.0327793,0.0051592,0.0435323,0.00526514,0.0501489,0.00292026,0.0442714,0.00505362
5.06718,0.0335777,0.00517677,0.0428948,0.00501491,0.0505007,0.00288488,0.0443384,0.00482162
5.38902,0.034527,0.00499489,0.0427855,0.0048891,0.0506599,0.00279999,0.044189,0.00461151
5.73131,0.0355432,0.00482548,0.042996,0.00446104,0.0499085,0.00256788,0.0439631,0.00418163
6.09534,0.0354451,0.00441991,0.0434691,0.00450389,0.0504701,0.00250307,0.0448655,0.00382837
6.48249,0.0365167,0.00398083,0.044155,0.0042356,0.0504586,0.00218295,0.0448438,0.0034598
6.89423,0.037338,0.00368972,0.0440303,0.00389041,0.0510152,0.00204494,0.0449908,0.00338879
7.33212,0.0387148,0.00341371,0.044457,0.00374039,0.0516418,0.0020839,0.0454041,0.00302179
7.79783,0.0391528,0.0032779,0.0444789,0.00362549,0.0515569,0.00196135,0.0469741,0.00302911
8.29311,0.0405383,0.00305742,0.0447535,0.00342145,0.0518548,0.00189642,0.0477352,0.00289092
8.81986,0.0418411,0.00290193,0.0445557,0.00324725,0.0524748,0.00187116,0.0486465,0.00288141
9.38006,0.0431363,0.00267963,0.0447719,0.00303335,0.0528325,0.00180099,0.0491516,0.00276969
9.97584,0.0435599,0.00244615,0.0453356,0.00294453,0.053256,0.00170433,0.0498741,0.00259814
10.6095,0.0448135,0.00218973,0.0461321,0.00295251,0.0537577,0.00165,0.0509762,0.00254932
11.2833,0.0462005,0.0020887,0.0465498,0.00285177,0.0543396,0.00167121,0.0516908,0.002476
12,0.0466626,0.00197617,0.0472764,0.00274149,0.0546812,0.00173519,0.0527524,0.00247925
